scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0,0.297,1.904,0.536,3.815,7.715,4.944,-10.285,-1.027,0.692,0.132,-0.039
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.1,0.792,4.499,-0.001,11.544,22.167,4.002,-10.602,0.320,0.076,-0.020,0.138
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.2,1.772,7.779,0.081,74.678,56.125,3.604,-12.223,0.277,0.103,-0.032,0.107
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.5,2.658,11.116,0.206,78.301,113.327,3.225,-14.880,0.149,0.144,-0.035,0.071
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_1,3.013,11.479,0.163,42.970,55.000,3.235,-15.044,0.127,0.145,-0.031,0.065
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_2,2.923,11.113,0.146,77.616,137.173,3.143,-14.505,0.132,0.139,-0.028,0.067
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_5,2.885,11.043,0.148,69.774,104.952,3.141,-14.430,0.131,0.139,-0.027,0.066
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_10,2.876,10.964,0.140,72.103,117.775,3.122,-14.344,0.133,0.135,-0.030,0.067
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0,0.297,1.904,0.536,3.815,7.715,4.944,-10.285,-1.027,0.692,0.132,-0.039
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.1,0.792,4.499,-0.001,11.544,22.167,4.002,-10.602,0.320,0.076,-0.020,0.138
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.2,1.772,7.779,0.081,74.678,56.125,3.604,-12.223,0.277,0.103,-0.032,0.107
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_0.5,2.658,11.116,0.206,78.301,113.327,3.225,-14.880,0.149,0.144,-0.035,0.071
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_1,3.013,11.479,0.163,42.970,55.000,3.235,-15.044,0.127,0.145,-0.031,0.065
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_2,2.923,11.113,0.146,77.616,137.173,3.143,-14.505,0.132,0.139,-0.028,0.067
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_5,2.885,11.043,0.148,69.774,104.952,3.141,-14.430,0.131,0.139,-0.027,0.066
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ef_10,2.876,10.964,0.140,72.103,117.775,3.122,-14.344,0.133,0.135,-0.030,0.067
